o 	 w 	 F_D
1.697339484265388165e+00 -1.647722357522830805e+00 1.350000000000000089e+00
1.705210360545390103e+00 -1.646933952113028621e+00 1.350000000000000089e+00
1.696607750178177554e+00 -1.647794741169709365e+00 1.350000000000000089e+00
1.704478976209937713e+00 -1.647007966732055628e+00 1.350000000000000089e+00
1.695875983982393365e+00 -1.647866972051794443e+00 1.350000000000000089e+00
1.703747559042522397e+00 -1.647081830737107344e+00 1.350000000000000089e+00
1.695144185742950782e+00 -1.647939049970667202e+00 1.350000000000000089e+00
1.703016109102943432e+00 -1.647155543933672694e+00 1.350000000000000089e+00
1.694412355529539838e+00 -1.648010974726771494e+00 1.350000000000000089e+00
1.702284626464983575e+00 -1.647229106116530728e+00 1.350000000000000089e+00
1.701553111192534828e+00 -1.647302517088645724e+00 1.350000000000000089e+00
1.700821563355173538e+00 -1.647375776648069223e+00 1.350000000000000089e+00
1.700089983015427464e+00 -1.647448884596673935e+00 1.350000000000000089e+00
1.699358370247193051e+00 -1.647521840732430354e+00 1.350000000000000089e+00
1.698626725106404223e+00 -1.647594644860573387e+00 1.350000000000000089e+00
1.697895047676961866e+00 -1.647667296772851175e+00 1.350000000000000089e+00
1.705765657920554901e+00 -1.646877654446964989e+00 1.350000000000000089e+00
1.697163338014117784e+00 -1.647739796274833024e+00 1.350000000000000089e+00
1.705034298556416417e+00 -1.646951783289291482e+00 1.350000000000000089e+00
1.696431596192223168e+00 -1.647812143164759657e+00 1.350000000000000089e+00
1.704302906312680221e+00 -1.647025761668987620e+00 1.350000000000000089e+00
1.695699822277216384e+00 -1.647884337242299768e+00 1.350000000000000089e+00
1.703571481248463471e+00 -1.647099589389473984e+00 1.350000000000000089e+00
1.694968016331170446e+00 -1.647956378310026615e+00 1.350000000000000089e+00
1.702840023431978267e+00 -1.647173266251000134e+00 1.350000000000000089e+00
1.694236178433893514e+00 -1.648028266164016209e+00 1.350000000000000089e+00
1.702108532934619944e+00 -1.647246792049545938e+00 1.350000000000000089e+00
1.701377009818234143e+00 -1.647320166589551382e+00 1.350000000000000089e+00
1.700645454147167612e+00 -1.647393389671333974e+00 1.350000000000000089e+00
1.699913865992815687e+00 -1.647466461094586609e+00 1.350000000000000089e+00
1.692579861480670189e+00 -1.651663468034740179e+00 1.350999999999999979e+00
1.700469583906976112e+00 -1.650881596225600267e+00 1.350999999999999979e+00
1.691846377369675025e+00 -1.651735236008980756e+00 1.350999999999999979e+00
1.699736446642926779e+00 -1.650955010559074676e+00 1.350999999999999979e+00
1.691112861419657776e+00 -1.651806849784279496e+00 1.350999999999999979e+00
1.699003276806688945e+00 -1.651028272858030999e+00 1.350999999999999979e+00
1.690379313702809583e+00 -1.651878309158664182e+00 1.350999999999999979e+00
1.698270074474546476e+00 -1.651101382916527749e+00 1.350999999999999979e+00
1.689645734288479417e+00 -1.651949613929981631e+00 1.350999999999999979e+00
1.697536839707094458e+00 -1.651174340537299168e+00 1.350999999999999979e+00
1.696803572573681862e+00 -1.651247145519026294e+00 1.350999999999999979e+00
1.696070273149569374e+00 -1.651319797656950916e+00 1.350999999999999979e+00
1.695336941489326676e+00 -1.651392296756207578e+00 1.350999999999999979e+00
1.694603577673216677e+00 -1.651464642609282718e+00 1.350999999999999979e+00
1.693870181758764915e+00 -1.651536835021681693e+00 1.350999999999999979e+00
1.693136753818503593e+00 -1.651608873788461995e+00 1.350999999999999979e+00
1.701026212409150418e+00 -1.650825753387752393e+00 1.350999999999999979e+00
1.692403293927693397e+00 -1.651680758706304486e+00 1.350999999999999979e+00
1.700293099915985096e+00 -1.650899283024283903e+00 1.350999999999999979e+00
1.691669802143632495e+00 -1.651752489579061622e+00 1.350999999999999979e+00
1.699559954802200679e+00 -1.650972660779006729e+00 1.350999999999999979e+00
1.690936278538170967e+00 -1.651824066205393349e+00 1.350999999999999979e+00
1.698826777138965127e+00 -1.651045886446904198e+00 1.350999999999999979e+00
1.690202723187478995e+00 -1.651895488379821142e+00 1.350999999999999979e+00
1.698093566992216807e+00 -1.651118959827664989e+00 1.350999999999999979e+00
1.689469136149082118e+00 -1.651966755905259099e+00 1.350999999999999979e+00
1.697360324431986811e+00 -1.651191880720957128e+00 1.350999999999999979e+00
1.696627049518983910e+00 -1.651264648926315193e+00 1.350999999999999979e+00
1.695893742324603437e+00 -1.651337264244054248e+00 1.350999999999999979e+00
1.695160402917739617e+00 -1.651409726470220773e+00 1.350999999999999979e+00
1.687947223072217895e+00 -1.655522254772848312e+00 1.351999999999999869e+00
1.695855398265404546e+00 -1.654746899978750019e+00 1.351999999999999869e+00
1.687212025492190293e+00 -1.655593408796646404e+00 1.351999999999999869e+00
